City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
9,Atuona,PF,78.03,few clouds,-9.8,-139.0333,Villa Enata
10,Pasighat,IN,77.4,moderate rain,28.0667,95.3333,Siang Guest House
11,Tual,ID,82.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
14,Bambous Virieux,MU,73.65,moderate rain,-20.3428,57.7575,Casa Tia Villa
19,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Bengkulu,ID,82.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Butaritari,KI,82.29,few clouds,3.0707,172.7902,Isles Sunset Lodge
26,Kisangani,CD,71.67,moderate rain,0.5167,25.2,Grand Ramela Hotel
29,Rikitea,PF,73.54,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
33,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
36,Namibe,AO,71.85,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
39,Bayshore Gardens,US,80.98,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
42,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
47,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Hithadhoo,MV,83.7,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Ambon,ID,82.54,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
71,Port Elizabeth,ZA,73.69,clear sky,-33.918,25.5701,39 On Nile Guest House
76,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
82,Lodwar,KE,84.38,clear sky,3.1191,35.5973,Solmar Gracious Hotel
86,Marawi,PH,78.39,broken clouds,7.9986,124.2928,Derogongan Residence
89,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
91,Dromolaxia,CY,81.64,few clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
92,Bubaque,GW,80.08,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
94,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
95,Praia,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
98,Alappuzha,IN,82.2,overcast clouds,9.49,76.3264,Panoramic Sea Resort
101,Erzin,TR,81.77,clear sky,36.9559,36.2,Artemis Otel
104,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
106,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
107,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Vista Roof Restaurant
113,Isangel,VU,78.91,light rain,-19.55,169.2667,Tanna Lodge
115,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
116,Ponta Do Sol,PT,70.0,clear sky,32.6667,-17.1,Hotel do Campo
118,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
119,Sinnamary,GF,76.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
123,Krasnyy Chikoy,RU,74.66,scattered clouds,50.3643,108.7512,Persona
