City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
0,Kamenka,RU,51.3223,42.7678,71.92,57,12,9.01,few clouds
1,Yaypan,UZ,40.3758,70.8156,88.57,30,100,11.23,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,66.31,85,100,4.76,overcast clouds
3,Upernavik,GL,72.7868,-56.1549,24.73,90,100,13.87,overcast clouds
4,Busselton,AU,-33.65,115.3333,59.2,70,27,27.96,scattered clouds
5,Bredasdorp,ZA,-34.5322,20.0403,61.18,35,100,2.86,overcast clouds
6,Grand Gaube,MU,-20.0064,57.6608,73.8,83,100,5.01,light rain
7,Nyakahanga,TZ,-1.6033,31.1414,65.7,70,85,4.72,overcast clouds
8,Dikson,RU,73.5069,80.5464,32.56,98,100,7.96,snow
9,Atuona,PF,-9.8,-139.0333,78.03,66,11,14.07,few clouds
10,Pasighat,IN,28.0667,95.3333,77.4,94,97,3.69,moderate rain
11,Tual,ID,-5.6667,132.75,82.81,76,100,10.87,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,65.26,50,0,6.91,clear sky
13,Tuktoyaktuk,CA,69.4541,-133.0374,33.03,95,100,9.57,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,13.8,moderate rain
15,Jamestown,US,42.097,-79.2353,65.79,81,100,1.01,overcast clouds
16,Aklavik,CA,68.2191,-135.0107,34.5,92,100,13.49,light snow
17,Ushuaia,AR,-54.8,-68.3,51.46,62,75,3.44,broken clouds
18,Bluff,NZ,-46.6,168.3333,40.8,75,66,9.33,broken clouds
19,Kapaa,US,22.0752,-159.319,80.58,83,75,14.97,broken clouds
20,Chapais,CA,49.7834,-74.8492,49.78,86,24,5.95,few clouds
21,Castro,BR,-24.7911,-50.0119,36.73,73,100,4.0,overcast clouds
22,Bengkulu,ID,-3.8004,102.2655,82.96,69,95,5.32,overcast clouds
23,Coihaique,CL,-45.5752,-72.0662,29.01,93,0,2.3,clear sky
24,Butaritari,KI,3.0707,172.7902,82.29,74,15,10.54,few clouds
25,Barrow,US,71.2906,-156.7887,30.22,86,100,9.22,mist
26,Kisangani,CD,0.5167,25.2,71.67,97,100,3.29,moderate rain
27,Mataura,NZ,-46.1927,168.8643,40.48,95,11,4.0,few clouds
28,Skerries,IE,53.5828,-6.1083,55.51,84,12,18.05,few clouds
29,Rikitea,PF,-23.1203,-134.9692,73.54,67,98,10.31,overcast clouds
30,Naze,JP,28.3667,129.4833,77.92,85,100,5.79,overcast clouds
31,Albany,US,42.6001,-73.9662,59.41,87,28,2.46,scattered clouds
32,Kaitangata,NZ,-46.2817,169.8464,42.42,80,100,5.66,overcast clouds
33,Makakilo City,US,21.3469,-158.0858,77.32,65,100,13.8,overcast clouds
34,Ayagoz,KZ,47.9714,80.4392,89.42,22,100,11.21,overcast clouds
35,Hammerfest,NO,70.6634,23.6821,43.25,100,75,23.02,light intensity shower rain
36,Namibe,AO,-15.1961,12.1522,71.85,45,1,6.76,clear sky
37,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,88,75,13.8,broken clouds
38,Jambi,ID,-1.6,103.6167,89.26,58,100,1.54,heavy intensity rain
39,Bayshore Gardens,US,27.4253,-82.5904,80.98,92,0,6.91,clear sky
40,Savannakhet,LA,16.566,104.751,89.62,62,40,6.91,scattered clouds
41,Mecca,SA,21.4267,39.8261,100.9,22,0,10.69,clear sky
42,Kahului,US,20.8947,-156.47,77.85,80,20,11.99,few clouds
43,Lagoa,PT,39.05,-27.9833,61.25,73,0,18.1,clear sky
44,Torbay,CA,47.6666,-52.7314,56.88,83,100,16.11,overcast clouds
45,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.09,92,100,7.18,overcast clouds
46,Severo-Kurilsk,RU,50.6789,156.125,46.22,87,52,9.98,broken clouds
47,Mahebourg,MU,-20.4081,57.7,73.69,83,75,13.8,broken clouds
48,Zhuhai,CN,22.2769,113.5678,88.86,94,40,11.5,heavy intensity rain
49,Syamzha,RU,60.0158,41.0614,63.73,40,9,3.04,clear sky
50,Saldanha,ZA,-33.0117,17.9442,55.45,77,100,13.04,overcast clouds
51,Hithadhoo,MV,-0.6,73.0833,83.7,72,100,11.9,overcast clouds
52,Izhma,RU,65.0083,53.9113,56.3,32,0,11.7,clear sky
53,Donskoye,RU,45.4552,41.9741,85.62,30,18,12.46,few clouds
54,Hobart,AU,-42.8794,147.3294,46.26,74,75,12.66,broken clouds
55,Viedma,AR,-40.8135,-62.9967,48.87,48,100,10.54,overcast clouds
56,Sitka,US,57.0531,-135.33,48.09,87,100,3.44,light rain
57,Thompson,CA,55.7435,-97.8558,59.16,55,75,4.61,broken clouds
58,Sangar,RU,63.9242,127.4739,61.9,67,93,20.2,light rain
59,Khatanga,RU,71.9667,102.5,65.21,34,0,9.95,clear sky
60,Chingirlau,KZ,51.095,54.0814,71.11,52,10,12.93,clear sky
61,Bethel,US,41.3712,-73.414,62.49,91,0,0.0,clear sky
62,Belyy Yar,RU,53.6039,91.3903,86.86,36,0,15.66,clear sky
63,Margate,GB,51.3813,1.3862,58.69,76,100,11.68,overcast clouds
64,Itaquyry,PY,-24.9333,-55.2167,37.29,82,0,3.47,clear sky
65,Ambon,ID,-3.6954,128.1814,82.54,83,40,6.91,moderate rain
66,Waiouru,NZ,-39.4833,175.6667,46.06,83,67,14.74,light rain
67,Norman Wells,CA,65.282,-126.8329,46.44,100,100,17.27,light intensity shower rain
68,Vilhena,BR,-12.7406,-60.1458,55.72,91,96,4.79,overcast clouds
69,Marzuq,YE,14.4,46.4667,94.17,14,12,6.15,few clouds
70,Fairbanks,US,64.8378,-147.7164,62.94,50,100,12.66,overcast clouds
71,Port Elizabeth,ZA,-33.918,25.5701,73.69,25,0,13.8,clear sky
72,Dingle,PH,10.9995,122.6711,87.76,65,100,6.33,overcast clouds
73,Victoria,HK,22.2855,114.1577,88.97,84,99,18.01,overcast clouds
74,Flinders,AU,-34.5833,150.8552,59.18,60,58,8.01,broken clouds
75,Ahipara,NZ,-35.1667,173.1667,59.43,83,2,19.37,clear sky
76,Alofi,NU,-19.0595,-169.9187,75.09,94,88,6.91,overcast clouds
77,Luderitz,NA,-26.6481,15.1594,63.64,54,3,7.54,clear sky
78,Preston,GB,53.7667,-2.7167,58.62,88,32,15.17,scattered clouds
79,Denpasar,ID,-8.65,115.2167,87.46,74,20,13.8,few clouds
