City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,99.19,7,0,12.66,clear sky
1,Razdolnoye,RU,43.55,131.9167,70.21,55,10,11.5,clear sky
2,Qaanaaq,GL,77.484,-69.3632,26.42,87,100,3.87,overcast clouds
3,Kirakira,SB,-10.4544,161.9205,84.34,64,21,6.02,few clouds
4,Busselton,AU,-33.65,115.3333,63.52,70,62,26.02,light rain
5,Port Alfred,ZA,-33.5906,26.891,72.18,33,43,7.0,scattered clouds
6,Cidreira,BR,-30.1811,-50.2056,46.67,67,0,20.94,clear sky
7,Laguna De Perlas,NI,12.3429,-83.6712,77.27,87,100,13.38,overcast clouds
8,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,46,14.05,light rain
9,Atuona,PF,-9.8,-139.0333,77.85,66,0,13.78,clear sky
10,San Patricio,US,28.017,-97.5169,84.09,84,46,15.75,scattered clouds
11,Cape Town,ZA,-33.9258,18.4232,64.11,68,0,5.01,clear sky
12,Baykit,RU,61.67,96.37,69.12,36,100,10.98,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,65.7,86,100,7.36,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,57.79,49,77,7.31,broken clouds
15,Charlottetown,CA,46.2352,-63.1267,63.12,71,75,6.91,broken clouds
16,Opuwo,NA,-18.0607,13.84,54.12,52,0,5.55,clear sky
17,Marienburg,PL,54.0359,19.0266,60.89,93,45,4.54,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,73.85,69,81,12.5,broken clouds
19,Albany,US,42.6001,-73.9662,61.21,83,69,2.59,broken clouds
20,Chengde,CN,40.9725,117.9361,68.25,79,100,5.28,light rain
21,Sitka,US,57.0531,-135.33,51.69,76,100,6.91,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,62.8,78,100,3.31,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,55.06,62,75,5.75,broken clouds
24,Mwense,ZM,-10.3845,28.698,55.06,79,1,5.41,clear sky
25,Kapaa,US,22.0752,-159.319,79.48,78,75,17.27,broken clouds
26,Bredasdorp,ZA,-34.5322,20.0403,58.78,33,97,3.71,overcast clouds
27,Hithadhoo,MV,-0.6,73.0833,83.57,72,100,10.6,overcast clouds
28,Hobart,AU,-42.8794,147.3294,48.06,70,75,20.71,broken clouds
29,Salalah,OM,17.0151,54.0924,87.19,73,59,8.93,broken clouds
30,Lebu,CL,-37.6167,-73.65,47.41,78,100,5.57,overcast clouds
31,Kodiak,US,57.79,-152.4072,56.71,62,0,6.91,clear sky
32,Bonanza,NI,14.0289,-84.591,68.86,99,100,2.33,overcast clouds
33,Bethel,US,41.3712,-73.414,63.64,88,0,1.01,clear sky
34,Cherskiy,RU,68.75,161.3,69.66,20,38,11.34,scattered clouds
35,Zambezi,ZM,-13.5432,23.1047,47.75,76,2,5.73,clear sky
36,Ancud,CL,-41.8697,-73.8203,47.23,85,100,9.1,overcast clouds
37,Bluff,NZ,-46.6,168.3333,44.8,85,100,11.61,light rain
38,Makurdi,NG,7.7411,8.5121,72.93,97,71,4.5,broken clouds
39,Kavaratti,IN,10.5669,72.642,83.28,77,100,17.67,overcast clouds
40,Alofi,NU,-19.0595,-169.9187,80.49,78,35,11.5,scattered clouds
41,Khandyga,RU,62.6667,135.6,72.46,32,100,4.72,overcast clouds
42,Katsuura,JP,35.1333,140.3,69.85,73,77,13.69,broken clouds
43,Ribeira Grande,PT,38.5167,-28.7,62.11,82,26,19.15,scattered clouds
44,Mar Del Plata,AR,-38.0023,-57.5575,42.1,93,0,4.0,fog
45,Yellowknife,CA,62.456,-114.3525,59.52,77,100,16.11,light intensity shower rain
46,Cedar City,US,37.6775,-113.0619,79.77,12,0,9.22,clear sky
47,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
48,Cassilandia,BR,-19.1133,-51.7342,60.03,67,100,5.99,overcast clouds
49,Berlevag,NO,70.8578,29.0864,57.0,62,100,4.61,light rain
50,Iqaluit,CA,63.7506,-68.5145,40.73,75,75,15.01,broken clouds
51,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,3.44,broken clouds
52,Fiumicino,IT,41.7675,12.2291,71.65,55,0,6.91,clear sky
53,Santa Cecilia,BR,-26.9608,-50.4269,30.94,81,5,5.7,clear sky
54,Ixtapa,MX,20.7,-105.2,82.22,85,27,0.76,scattered clouds
55,Kaitangata,NZ,-46.2817,169.8464,44.49,79,100,5.64,overcast clouds
56,Nova Venecia,BR,-18.7106,-40.4006,68.02,93,83,3.33,broken clouds
57,Shelburne,CA,44.0787,-80.2041,56.35,93,100,7.56,overcast clouds
58,Sao Filipe,CV,14.8961,-24.4956,73.04,84,35,5.79,scattered clouds
59,Pandan,PH,14.0453,124.1694,86.49,66,19,6.51,few clouds
60,Mataura,NZ,-46.1927,168.8643,44.47,97,99,3.04,light rain
61,Chivilcoy,AR,-34.8957,-60.0167,43.79,43,0,3.44,clear sky
62,Quatre Cocos,MU,-20.2078,57.7625,69.91,87,96,14.56,light rain
63,Ko Samui,TH,9.5357,99.9357,89.51,62,20,3.44,few clouds
64,Saskylakh,RU,71.9167,114.0833,65.53,35,3,8.16,clear sky
65,Najran,SA,17.4924,44.1277,74.05,11,17,4.25,few clouds
66,Aykhal,RU,66.0,111.5,57.0,53,82,15.01,broken clouds
67,Neiafu,TO,-18.65,-173.9833,81.28,83,75,9.22,broken clouds
68,Ormara,PK,25.2088,64.6357,83.8,76,35,7.47,scattered clouds
69,Buraydah,SA,26.326,43.975,79.25,13,0,3.78,clear sky
70,Portales,US,34.1862,-103.3344,90.93,18,19,13.47,few clouds
71,Karaman,TR,37.0833,33.25,60.3,67,0,10.25,clear sky
72,Port Hardy,CA,50.6996,-127.4199,51.98,87,75,6.91,broken clouds
