City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-06-11 19:38:30,72.7868,-56.1549,30.7,78,26,14.38
1,Asau,RO,2022-06-11 19:38:31,46.4333,26.4,63.95,100,100,5.19
2,Khilok,RU,2022-06-11 19:38:31,51.3674,110.4676,46.53,97,80,2.84
3,Punta Arenas,CL,2022-06-11 19:34:15,-53.15,-70.9167,44.71,81,100,12.66
4,Rikitea,PF,2022-06-11 19:38:31,-23.1203,-134.9692,74.07,79,8,8.9
5,Breytovo,RU,2022-06-11 19:38:32,58.2993,37.8617,55.17,75,2,4.97
6,Mehran,IR,2022-06-11 19:38:32,33.1222,46.1646,90.55,15,0,14.2
7,Komsomolskiy,UZ,2022-06-11 19:38:33,40.4272,71.7189,77.72,41,28,0.0
8,Bredasdorp,ZA,2022-06-11 19:37:13,-34.5322,20.0403,63.28,36,100,3.71
9,Sept-Iles,CA,2022-06-11 19:38:33,50.2001,-66.3821,61.32,100,75,5.75
10,Cabra,ES,2022-06-11 19:38:33,37.4725,-4.4421,78.19,24,1,7.94
11,Tiksi,RU,2022-06-11 19:38:34,71.6872,128.8694,38.25,75,86,6.73
12,Busselton,AU,2022-06-11 19:35:59,-33.65,115.3333,61.75,88,32,10.8
13,Ushuaia,AR,2022-06-11 19:38:34,-54.8,-68.3,42.46,87,75,8.05
14,Canmore,CA,2022-06-11 19:38:34,51.0834,-115.3521,64.51,44,81,10.36
15,Caravelas,BR,2022-06-11 19:38:35,-17.7125,-39.2481,74.17,84,41,8.08
16,Port Hedland,AU,2022-06-11 19:38:35,-20.3167,118.5667,68.05,88,75,6.91
17,Qaanaaq,GL,2022-06-11 19:37:18,77.484,-69.3632,30.42,71,100,0.65
18,Lavrentiya,RU,2022-06-11 19:38:35,65.5833,-171.0,36.72,65,100,18.84
19,Puerto Ayora,EC,2022-06-11 19:37:12,-0.7393,-90.3518,76.96,89,58,8.01
20,Lompoc,US,2022-06-11 19:38:36,34.6391,-120.4579,95.77,65,0,11.5
21,Lebu,CL,2022-06-11 19:37:18,-37.6167,-73.65,54.3,72,100,4.25
22,Mar Del Plata,AR,2022-06-11 19:36:28,-38.0023,-57.5575,55.42,68,0,9.22
23,Flin Flon,CA,2022-06-11 19:38:36,54.7682,-101.865,62.44,51,75,9.22
24,Beira,MZ,2022-06-11 19:38:37,-19.8436,34.8389,71.69,83,20,5.75
25,Hermanus,ZA,2022-06-11 19:38:37,-34.4187,19.2345,65.17,44,100,6.4
